Date,Temperature,W_speed,W_direction,Humidity,Shandong,Seoul
2014-01-01,4,3.7,12,51.3,,125
2014-01-02,1.5,2,13,35.4,,56
2014-01-03,2.3,2.5,2,54.4,,59
2014-01-04,-0.1,2.4,12,47.1,,51
2014-01-05,-0.8,1.9,12,48.4,,45
2014-01-06,0.8,1.6,2,50.4,,69
2014-01-07,3,1.7,1,56,,85
2014-01-08,0.5,3.3,13,56.6,,71
2014-01-09,-7.8,3.6,13,26.3,,22
2014-01-10,-4.7,2,12,48.6,,35
2014-01-11,-1.7,1.9,13,44.1,,52
2014-01-12,-2.4,3.4,14,43.5,,63
2014-01-13,-6.2,2.9,13,26,,34
2014-01-14,-4.3,2.2,12,33.8,,46
2014-01-15,-2.9,1.7,12,42,,56
2014-01-16,0.1,1.9,2,59.9,,110
2014-01-17,-0.1,1.6,12,55.9,,120
2014-01-18,-2.2,3.1,13,42.4,,64
2014-01-19,-2.6,1.9,1,44.8,,50
2014-01-20,-1.5,3.2,3,83.3,,66
2014-01-21,-5.5,2.4,13,62.6,,115
2014-01-22,-3.9,1.6,13,60,,95
2014-01-23,-0.8,2.1,2,65.6,,57
2014-01-24,3,2.6,2,64.4,,62
2014-01-25,4.2,2.4,13,74.4,,49
2014-01-26,-2.1,2.7,13,42.1,,38
2014-01-27,0.2,2.6,2,48,,41
2014-01-28,1.5,2.9,13,52.8,,32
2014-01-29,2.2,2.2,2,40.1,,40
2014-01-30,4,3,12,66.1,,31
2014-01-31,1.3,2.2,3,26.1,,23
2014-02-01,4.9,3.4,3,63.8,,24
2014-02-02,4.9,2,12,91.6,,21
2014-02-03,-3.5,4.3,14,38.5,,70
2014-02-04,-7.4,3.4,13,25.9,,44
2014-02-05,-4.8,2,12,27.5,,47
2014-02-06,-1.3,1.7,1,29.8,,46
2014-02-07,2.4,4.8,14,47.3,,15
2014-02-08,0.2,4.3,13,79.4,,12
2014-02-09,-1.6,2.7,13,76.5,,22
2014-02-10,-0.1,2.5,3,55,,24
2014-02-11,0.2,3.2,3,42.1,,18
2014-02-12,1.2,2.5,3,49.3,,22
2014-02-13,1.9,2.2,3,46.1,,23
2014-02-14,2.7,3.1,3,47.3,,18
2014-02-15,2.7,2.7,2,54.6,,30
2014-02-16,2.8,1.7,2,53.3,,58
2014-02-17,4.2,2,2,45.5,,82
2014-02-18,2.5,3.5,2,45.9,,23
2014-02-19,2.1,2.6,2,48.6,,31
2014-02-20,1.2,2.8,12,61.5,,65
2014-02-21,0.9,2.6,12,49.1,,65
2014-02-22,2.2,2.1,13,49.3,,97
2014-02-23,3.1,2.1,13,50.6,,107
2014-02-24,4.1,2.3,13,58,,164
2014-02-25,5.7,2,12,59.9,,179
2014-02-26,8.4,1.9,2,44.9,,132
2014-02-27,7.7,2.8,12,55.4,,116
2014-02-28,6.7,2.3,3,58.8,,115
2014-03-01,6,2.6,12,61.1,,94
2014-03-02,4.5,3,13,46.4,,35
2014-03-03,5.2,2,13,34.4,,60
2014-03-04,6.3,2.9,12,48,,86
2014-03-05,1.4,4.4,13,44.8,,61
2014-03-06,0.3,3.6,13,43.4,,36
2014-03-07,-0.6,3.8,12,45.9,,34
2014-03-08,2,2.5,12,55,,45
2014-03-09,1.4,3.6,13,56.4,,40
2014-03-10,1.5,3,12,50.4,,42
2014-03-11,4.5,2.8,11,65,,52
2014-03-12,6.9,1.5,1,75.8,,40
2014-03-13,5.2,4,3,54.5,,45
2014-03-14,3.4,3.6,12,54.6,,63
2014-03-15,6.8,4,10,66.8,,102
2014-03-16,11.3,2.3,10,68.3,,100
2014-03-17,12.6,3.5,10,79,,63
2014-03-18,10.5,3.5,12,75.3,,141
2014-03-19,9.6,2.9,3,65.5,,131
2014-03-20,6.3,3.2,13,71.3,,70
2014-03-21,5.9,3.4,12,52.5,,33
2014-03-22,8.6,2.5,11,63.5,,60
2014-03-23,9.6,3,11,63.6,,83
2014-03-24,10.9,3.5,10,60.5,,54
2014-03-25,14.6,2.7,10,75.9,,58
2014-03-26,15.4,2.8,11,64.6,,67
2014-03-27,13.5,2.8,11,68.9,,93
2014-03-28,16.6,2.6,11,57.3,,115
2014-03-29,15,2.5,3,73.4,,51
2014-03-30,14.9,3.1,3,63.5,,39
2014-03-31,14.5,2.3,12,49.3,,70
2014-04-01,15.6,2.4,11,33.8,,77
2014-04-02,15.5,2.7,12,30,,66
2014-04-03,10.2,3.1,12,63,,60
2014-04-04,6.6,3.4,13,52.6,,29
2014-04-05,6.2,3,12,60.5,,45
2014-04-06,7.4,4,11,50.6,,44
2014-04-07,10.3,3.4,10,64.9,,70
2014-04-08,11.9,2.6,12,60.9,,51
2014-04-09,10.3,3,12,85.3,,69
2014-04-10,12.5,2.4,11,71.5,,63
2014-04-11,13.6,2.8,12,69.5,,69
2014-04-12,14.3,1.7,13,68.8,,77
2014-04-13,17.2,2.2,3,54.9,,75
2014-04-14,16.3,2.7,12,53.3,,71
2014-04-15,12.9,3.2,12,80.1,,79
2014-04-16,14,1.8,10,81,,158
2014-04-17,14.7,1.9,2,67.4,,92
2014-04-18,15.9,2.6,2,59.9,,64
2014-04-19,14,4.5,3,56,,47
2014-04-20,14.6,3.4,3,54.4,,42
2014-04-21,15.1,3,13,55.1,,56
2014-04-22,16,2.8,12,43.1,,60
2014-04-23,17.2,2.5,13,49.4,,92
2014-04-24,18.6,2,12,49,,114
2014-04-25,19,2.2,2,32.5,,67
2014-04-26,18.7,2.4,12,38.9,,54
2014-04-27,15.6,2.3,2,86.6,,26
2014-04-28,13.6,4.6,3,91.6,,13
2014-04-29,15,4,2,69.5,,18
2014-04-30,16.1,2.1,2,62.1,,28
2014-05-01,16,3.2,11,60.5,,56
2014-05-02,15.7,3.6,10,70.9,,83
2014-05-03,13.1,3.9,12,54.6,,30
2014-05-04,12.3,3.8,10,57.8,,45
2014-05-05,11.3,5.1,11,56.5,,42
2014-05-06,13.1,3.4,10,45.9,,45
2014-05-07,15.7,3.8,2,48.3,,49
2014-05-08,14.5,4.2,11,83.9,,34
2014-05-09,16.8,2,12,60.8,,47
2014-05-10,20.5,2.1,3,43.4,,41
2014-05-11,18.9,3.4,3,54.4,,34
2014-05-12,16.4,5.2,10,79.1,,43
2014-05-13,19.2,4,11,69.9,,94
2014-05-14,19.6,3.5,12,59.1,,80
2014-05-15,18.2,4,12,66.9,,53
2014-05-16,19,2.9,12,50.3,,56
2014-05-17,20,2.3,13,48,,61
2014-05-18,20.3,2.4,11,50.1,,53
2014-05-19,20,2.3,12,55.1,,61
2014-05-20,21.5,2.2,12,45.4,,75
2014-05-21,20.1,3.7,12,65.3,,60
2014-05-22,20.9,2.5,12,63.4,,53
2014-05-23,22,2.9,10,68.4,,73
2014-05-24,21.3,2.3,12,68.8,,68
2014-05-25,20.5,2.4,7,78.9,,49
2014-05-26,19.4,4,11,67.4,,89
2014-05-27,22.8,4.2,10,49.5,,170
2014-05-28,24,2.5,12,60.8,,184
2014-05-29,23.2,2.8,11,54.6,,135
2014-05-30,24.8,2.1,13,42.5,,79
2014-05-31,26.2,2.6,11,50.3,,117
2014-06-01,24.7,1.9,12,58.1,,93
2014-06-02,22.6,2.2,3,73.5,,85
2014-06-03,18.7,3.5,3,95.3,,25
2014-06-04,22.8,4.3,3,61.5,,21
2014-06-05,22.9,2.9,3,58.8,,18
2014-06-06,24.4,2.4,2,58.9,,28
2014-06-07,23.5,2.4,12,65.1,,37
2014-06-08,21.4,3,11,75.3,,32
2014-06-09,22.9,2.3,13,70.8,,42
2014-06-10,23.6,2.1,3,72,,35
2014-06-11,20.5,1.9,1,87.1,,38
2014-06-12,21.2,2.8,2,73.9,,42
2014-06-13,21.3,2.9,10,79,,53
2014-06-14,22.5,3.3,12,71.6,,41
2014-06-15,23.2,3.3,12,69.9,,42
2014-06-16,23.9,2.5,12,66.4,,39
2014-06-17,24.5,1.9,11,71.8,,77
2014-06-18,24.4,3,12,71.3,,60
2014-06-19,22.5,3.5,11,79.3,,50
2014-06-20,24.2,1.6,13,76.5,,52
2014-06-21,23.1,2.7,3,80.9,,23
2014-06-22,23.7,1.8,2,74.4,,22
2014-06-23,21,1.4,2,91.4,,30
2014-06-24,22.9,2.4,11,74.6,,37
2014-06-25,23.8,2.3,12,74.1,,52
2014-06-26,24.4,2.4,12,68,,45
2014-06-27,24.1,2.8,12,74.8,,34
2014-06-28,23.8,3.8,12,71.6,,38
2014-06-29,24.1,2.1,9,70.3,,33
2014-06-30,25.3,2.7,12,68,,37
2014-07-01,26,2.1,12,67.8,,44
2014-07-02,25.7,2.5,13,77.3,,78
2014-07-03,22.6,2.8,2,85.5,,22
2014-07-04,26.8,2.4,3,62.1,,19
2014-07-05,25.7,2.1,12,70.4,,32
2014-07-06,25.7,2.1,6,65.8,,26
2014-07-07,27.1,2.3,12,61.4,,38
2014-07-08,25.9,1.9,12,73,,29
2014-07-09,27.6,2.2,3,78.3,,22
2014-07-10,28.9,2.9,13,57.9,,35
2014-07-11,27.1,4,11,63.4,,63
2014-07-12,25.3,3.2,10,74.3,,77
2014-07-13,25.4,3.3,11,73.4,,56
2014-07-14,26.4,3.3,11,70.8,,81
2014-07-15,26.8,2.4,10,69.4,,91
2014-07-16,26.6,2.7,12,68.4,,51
2014-07-17,25.9,3.1,11,75.9,,23
2014-07-18,26.1,2.6,10,80.5,,18
2014-07-19,27,2.4,12,79.8,,46
2014-07-20,27.9,2.6,12,75.8,,58
2014-07-21,27.3,3,10,73.9,,52
2014-07-22,25.9,4.4,10,83.9,,19
2014-07-23,23.6,3.2,10,90,,19
2014-07-24,21.9,2,3,92.8,,12
2014-07-25,27.5,2.9,7,81.9,,17
2014-07-26,22.6,6.4,10,86.1,,36
2014-07-27,25,1.9,9,75,,81
2014-07-28,26.6,1.9,2,71.6,,61
2014-07-29,26.5,2.5,8,68.4,,40
2014-07-30,28.6,2.2,10,70.6,,28
2014-07-31,28.6,2.1,2,75.9,,27
2014-08-01,30.2,2.6,3,63.4,,17
2014-08-02,31.4,3.9,3,55,,14
2014-08-03,26.5,4.2,3,87.6,,10
2014-08-04,26.4,2.1,2,93,,11
2014-08-05,26.6,3.2,10,87.5,,51
2014-08-06,24.4,2.2,12,92.4,,44
2014-08-07,24.7,1.5,12,91.1,,45
2014-08-08,26.1,3.8,3,62.3,,22
2014-08-09,26.5,4.6,3,48.4,,20
2014-08-10,23.4,2.6,2,79.4,,11
2014-08-11,23.7,2.2,12,78.4,,26
2014-08-12,25.8,2.7,12,77.8,,61
2014-08-13,24.2,2.1,2,75.3,,70
2014-08-14,22.3,2,2,78.6,,29
2014-08-15,24.9,1.7,12,72.9,,33
2014-08-16,26.1,1.8,13,73.9,,40
2014-08-17,24,1.9,2,81.1,,32
2014-08-18,22.3,3.1,3,90,,36
2014-08-19,22.3,1.5,3,96.6,,28
2014-08-20,24.8,1.1,1,86,,36
2014-08-21,23.1,2.4,2,96.5,,20
2014-08-22,24.7,3.1,11,83.4,,73
2014-08-23,25.2,2.7,10,79.5,,79
2014-08-24,25.6,1.3,2,75.5,,56
2014-08-25,25.9,3,3,71.8,,33
2014-08-26,25.4,2.5,3,71.4,,21
2014-08-27,24.6,2.8,3,66.8,,10
2014-08-28,25.1,2.2,2,65.3,,18
2014-08-29,25.2,1.8,2,71.9,,26
