date,Tianjin
20140101,136
20140102,216
20140103,102
20140104,74
20140105,114
20140106,114
20140107,113
20140108,55
20140109,74
20140110,168
20140111,391
20140112,70
20140113,109
20140114,154
20140115,332
20140116,221
20140117,126
20140118,222
20140119,239
20140120,73
20140121,47
20140122,124
20140123,142
20140124,201
20140125,106
20140126,67
20140127,156
20140128,91
20140129,133
20140130,155
20140131,210
20140201,67
20140202,109
20140203,56
20140204,58
20140205,66
20140206,72
20140207,69
20140208,75
20140209,25
20140210,59
20140211,79
20140212,155
20140213,106
20140214,249
20140215,206
20140216,180
20140217,74
20140218,75
20140219,85
20140220,106
20140221,206
20140222,192
20140223,134
20140224,281
20140225,291
20140226,248
20140227,53
20140228,68
20140301,96
20140302,197
20140303,167
20140304,99
20140305,86
20140306,64
20140307,95
20140308,173
20140309,103
20140310,160
20140311,239
20140312,87
20140313,74
20140314,85
20140315,207
20140316,163
20140317,264
20140318,207
20140319,91
20140320,59
20140321,98
20140322,197
20140323,182
20140324,128
20140325,158
20140326,180
20140327,183
20140328,216
20140329,123
20140330,122
20140331,184
20140401,119
20140402,148
20140403,125
20140404,135
20140405,119
20140406,129
20140407,125
20140408,160
20140409,192
20140410,257
20140411,103
20140412,138
20140413,153
20140414,138
20140415,116
20140416,129
20140417,126
20140418,86
20140419,87
20140420,86
20140421,135
20140422,118
20140423,106
20140424,91
20140425,105
20140426,62
20140427,86
20140428,76
20140429,92
20140430,86
20140501,106
20140502,60
20140503,100
20140504,88
20140505,72
20140506,90
20140507,101
20140508,75
20140509,84
20140510,65
20140511,21
20140512,47
20140513,87
20140514,64
20140515,110
20140516,113
20140517,71
20140518,82
20140519,116
20140520,107
20140521,125
20140522,109
20140523,103
20140524,77
20140525,102
20140526,69
20140527,121
20140528,64
20140529,84
20140530,128
20140531,136
20140601,82
20140602,50
20140603,62
20140604,81
20140605,71
20140606,99
20140607,37
20140608,80
20140609,72
20140610,73
20140611,75
20140612,77
20140613,80
20140614,57
20140615,101
20140616,96
20140617,89
20140618,105
20140619,85
20140620,60
20140621,58
20140622,66
20140623,50
20140624,73
20140625,92
20140626,98
20140627,50
20140628,62
20140629,104
20140630,87
20140701,105
20140702,72
20140703,102
20140704,108
20140705,96
20140706,87
20140707,80
20140708,100
20140709,66
20140710,69
20140711,107
20140712,96
20140713,75
20140714,92
20140715,64
20140716,85
20140717,66
20140718,85
20140719,81
20140720,68
20140721,76
20140722,67
20140723,59
20140724,73
20140725,96
20140726,85
20140727,104
20140728,105
20140729,127
20140730,95
20140731,87
20140801,67
20140802,69
20140803,97
20140804,75
20140805,48
20140806,82
20140807,75
20140808,88
20140809,77
20140810,81
20140811,80
20140812,87
20140813,45
20140814,55
20140815,76
20140816,110
20140817,72
20140818,65
20140819,81
20140820,93
20140821,109
20140822,97
20140823,102
20140824,51
20140825,51
20140826,85
20140827,115
20140828,95
20140829,69
20140830,75
20140831,52
20140901,65
20140902,37
20140903,26
20140904,56
20140905,75
20140906,97
20140907,95
20140908,55
20140909,56
20140910,66
20140911,70
20140912,65
20140913,70
20140914,84
20140915,56
20140916,91
20140917,50
20140918,74
20140919,74
20140920,93
20140921,75
20140922,77
20140923,76
20140924,57
20140925,56
20140926,108
20140927,72
20140928,63
20140929,84
20140930,45
20141001,76
20141002,70
20141003,63
20141004,45
20141005,42
20141006,51
20141007,113
20141008,145
20141009,139
20141010,146
20141011,103
20141012,40
20141013,48
20141014,91
20141015,96
20141016,76
20141017,179
20141018,159
20141019,131
20141020,125
20141021,61
20141022,70
20141023,162
20141024,219
20141025,216
